Расходы бюджета города Москвы - всего;0;0;2 375 271 631 400,00;1 433 442 902 374,19;60,35
РАЗВИТИЕ ТРАНСПОРТНОЙ СИСТЕМЫ;100000000;0;557 752 097 400,00;312 450 336 884,44;56,02
Общественный транспорт «Метрополитен»;01А0000000;0;188 244 463 300,00;123 855 694 199,82;65,80
Развитие линий метрополитена;01А0100000;0;162 036 469 900,00;123 443 940 326,34;76,18
Капитальные вложения в объекты государственной (муниципальной) собственности;01А0100000;400;162 036 469 900,00;123 443 940 326,34;76,18
Бюджетные инвестиции;01А0100000;410;39 847 955 800,00;29 443 940 326,34;73,89
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01А0100000;414;39 847 955 800,00;29 443 940 326,34;73,89
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;01А0100000;460;122 188 514 100,00;94 000 000 000,00;76,93
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;01А0100000;466;122 188 514 100,00;94 000 000 000,00;76,93
Субсидия Государственному унитарному предприятию города Москвы «Московский ордена Ленина и ордена Трудового Красного Знамени метрополитен имени В.И. Ленина» на возмещение затрат, связанных с приобретением вагонов метро;01А0200000;0;26 207 993 400,00;411 753 873,48;1,57
Иные бюджетные ассигнования;01А0200000;800;26 207 993 400,00;411 753 873,48;1,57
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01А0200000;810;26 207 993 400,00;411 753 873,48;1,57
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;01А0200000;811;26 207 993 400,00;411 753 873,48;1,57
Общественный транспорт «Наземный городской пассажирский транспорт»;01Б0000000;0;42 190 422 600,00;11 499 273 673,13;27,26
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных учреждений;01Б0100000;0;2 171 249 600,00;1 367 485 519,14;62,98
Оказание государственными учреждениями государственных услуг, выполнение работ, финансовое обеспечение деятельности государственных казенных учреждений;01Б0108100;0;2 167 894 000,00;1 365 563 612,14;62,99
Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами;01Б0108100;100;1 841 946 700,00;1 205 482 687,61;65,45
Расходы на выплаты персоналу казенных учреждений;01Б0108100;110;1 841 946 700,00;1 205 482 687,61;65,45
Фонд оплаты труда учреждений;01Б0108100;111;1 415 223 300,00;927 931 245,70;65,57
Иные выплаты персоналу учреждений, за исключением фонда оплаты труда;01Б0108100;112;1 538 400,00;1 532 989,56;99,65
Взносы по обязательному социальному страхованию на выплаты по оплате труда работников и иные выплаты работникам учреждений;01Б0108100;119;425 185 000,00;276 018 452,35;64,92
Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б0108100;200;324 731 700,00;159 305 422,03;49,06
Иные закупки товаров, работ и услуг для обеспечения государственных (муниципальных) нужд;01Б0108100;240;324 731 700,00;159 305 422,03;49,06
Прочая закупка товаров, работ и услуг;01Б0108100;244;324 731 700,00;159 305 422,03;49,06
Иные бюджетные ассигнования;01Б0108100;800;1 215 600,00;775 502,50;63,80
Уплата налогов, сборов и иных платежей;01Б0108100;850;1 215 600,00;775 502,50;63,80
Уплата прочих налогов, сборов;01Б0108100;852;1 215 600,00;775 502,50;63,80
Уплата налога на имущество организаций;01Б0108500;0;3 355 600,00;1 921 907,00;57,27
Иные бюджетные ассигнования;01Б0108500;800;3 355 600,00;1 921 907,00;57,27
Уплата налогов, сборов и иных платежей;01Б0108500;850;3 355 600,00;1 921 907,00;57,27
Уплата налога на имущество организаций и земельного налога;01Б0108500;851;3 355 600,00;1 921 907,00;57,27
Возмещение затрат Государственному унитарному предприятию города Москвы «Мосгортранс» по перевозке пассажиров без оплаты проезда и иных расходов, связанных с обеспечением проведения массовых мероприятий;01Б0200000;0;71 296 600,00;;
Иные бюджетные ассигнования;01Б0200000;800;71 296 600,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б0200000;810;71 296 600,00;;
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;01Б0200000;811;71 296 600,00;;
Обеспечение деятельности Автономной некоммерческой организации «Дирекция московского транспортного узла»;01Б0400000;0;60 000 000,00;28 347 770,37;47,25
Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям;01Б0400000;600;60 000 000,00;28 347 770,37;47,25
Субсидии некоммерческим организациям (за исключением государственных (муниципальных) учреждений);01Б0400000;630;60 000 000,00;28 347 770,37;47,25
Субсидии (гранты в форме субсидий) на финансовое обеспечение затрат, порядком (правилами) предоставления которых установлено требование о последующем подтверждении их использования в соответствии с условиями и (или) целями предоставления;01Б0400000;632;60 000 000,00;28 347 770,37;47,25
Развитие инфраструктуры парков и депо городского пассажирского транспорта;01Б0600000;0;1 066 991 400,00;;
Капитальные вложения в объекты государственной (муниципальной) собственности;01Б0600000;400;1 066 991 400,00;;
Бюджетные инвестиции;01Б0600000;410;1 066 991 400,00;;
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Б0600000;414;1 066 991 400,00;;
Обустройство конечных станций городского пассажирского транспорта;01Б0700000;0;303 571 100,00;14 774 856,55;4,87
Капитальные вложения в объекты государственной (муниципальной) собственности;01Б0700000;400;303 571 100,00;14 774 856,55;4,87
Бюджетные инвестиции;01Б0700000;410;303 571 100,00;14 774 856,55;4,87
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Б0700000;414;303 571 100,00;14 774 856,55;4,87
Развитие иных объектов инфраструктуры Государственного унитарного предприятия города Москвы «Мосгортранс»;01Б0900000;0;1 941 300 000,00;23 954 276,00;1,23
Капитальные вложения в объекты государственной (муниципальной) собственности;01Б0900000;400;1 941 300 000,00;23 954 276,00;1,23
Бюджетные инвестиции;01Б0900000;410;1 915 345 700,00;;
Бюджетные инвестиции в объекты капитального строительства государственной (муниципальной) собственности;01Б0900000;414;1 915 345 700,00;;
Субсидии бюджетным и автономным учреждениям, государственным (муниципальным) унитарным предприятиям на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности или приобретение объектов недвижимого имущества в государственную (муниципальную) собственность;01Б0900000;460;25 954 300,00;23 954 276,00;92,29
Субсидии на осуществление капитальных вложений в объекты капитального строительства государственной (муниципальной) собственности государственным (муниципальным) унитарным предприятиям;01Б0900000;466;25 954 300,00;23 954 276,00;92,29
Возмещение части затрат на уплату лизинговых платежей по договорам финансовой аренды (лизинга) легковых автомобилей, предназначенных для осуществления таксомоторных перевозок или предоставления услуги каршеринг, и (или) части затрат на уплату процентов по кредитным договорам, заключенным с целью приобретения легковых автомобилей, предназначенных для осуществления таксомоторных перевозок или предоставления услуги каршеринг;01Б1100000;0;282 655 800,00;;
Иные бюджетные ассигнования;01Б1100000;800;282 655 800,00;;
Субсидии юридическим лицам (кроме некоммерческих организаций), индивидуальным предпринимателям, физическим лицам – производителям товаров, работ, услуг;01Б1100000;810;282 655 800,00;;
Субсидии на возмещение недополученных доходов и (или) возмещение фактически понесенных затрат в связи с производством (реализацией) товаров, выполнением работ, оказанием услуг;01Б1100000;811;282 655 800,00;;
